Framework,Year,Reference Paper Link,Core Pipeline,Datasets Used,Headline Quantitative Gains,Experimental Settings
MiniCheck,2024,MiniCheck: Efficient Fact-Checking of LLMs on Grounding Documents - ACL Anthology,"Generates synthetic data for multi-sentence/multi-fact reasoning to fine-tune small, efficient models (e.g., Flan-T5) for sentence-level fact-checking against grounding documents.","Training: Custom synthetic data (14K) + a subset of ANLI (21K). Evaluation: A new aggregated benchmark, LLM-AGGREFACT, unifying 10 public datasets (e.g., AGGREFACT, TOFUEVAL, WICE).",Achieved GPT-4-level accuracy on the LLM-AGGREFACT benchmark at 400x lower cost. Outperformed prior SOTA specialized models like AlignScore by 4.3% in Balanced Accuracy (BAcc).,"Models: Fine-tuned Flan-T5-large, DeBERTa-v3-large, and RoBERTa-large. 
Baselines: Specialized fact-checkers (e.g., AlignScore) and various LLMs (e.g., GPT-4, Claude 3). 
Metric: Balanced Accuracy (BAcc)."
SNIFFER,2024,SNIFFER: Multimodal Large Language Model for Explainable Out-of-Context Misinformation Detection,"An MLLM (InstructBLIP) undergoes a two-stage instruction tuning process: first for news-domain entity alignment, then for OOC-specific detection logic. It integrates internal consistency checks with external verification via reverse image search to produce a judgment and explanation.","Training/Evaluation: NewsCLIPpings. OOC instruction data was generated using GPT-4. 
Generalization: Tested on News400 and TamperedNews.",Surpassed the base InstructBLIP model by over 40% in detection accuracy (88.4% vs 47.4%). Outperformed previous SOTA (CCN) by 3.7%. Outperformed GPT-4V by 11% on a sampled test set.,"Base Model: InstructBLIP with Vicuna-13B. 
Baselines: SAFE, EANN, VisualBERT, CLIP, CCN, and Neu-Sym detector. 
Metrics: Accuracy for detection; quantitative (e.g., ROUGE) and human evaluation for explanations."
Self-Checker,2024,Self-Checker: Plug-and-Play Modules for Fact-Checking with Large Language Models - ACL Anthology,"A training-free, plug-and-play framework using LLM-prompted modules. A policy agent coordinates a pipeline of: 1) Claim Processor, 2) Query Generator, 3) Evidence Seeker, and 4) Verdict Counselor to systematically fact-check complex text.","New Dataset: Introduced BINGCHECK, containing LLM (Bing Chat) responses annotated by humans. 
Evaluation: Also tested on FEVER and WiCE.","On BINGCHECK, achieved 63.4% response-level accuracy, significantly outperforming standard prompting (19.4%) and CoT (15.7%). Performance on FEVER (56.7% accuracy, 47.9% FEVER Score) and WiCE (71.5% accuracy, 47.7% F1) was below SOTA fine-tuned models but better than other prompt-based methods.","Core LLM: GPT-3.5 (text-davinci-003) with few-shot prompts for each module. 
Knowledge Source: Bing Search for BINGCHECK, Wikipedia for FEVER. 
Baselines: Prompt-based (Standard, CoT, ReAct) and fine-tuned models (BEVERS for FEVER, T5-3B for WiCE)."
LLM-Augmenter,2023,Check Your Facts and Try Again: Improving Large Language Models with External Knowledge and Automated Feedback,"An agent system that augments a black-box LLM. A policy module selects actions (e.g., consolidate knowledge, query LLM). A Knowledge Consolidator retrieves and processes external evidence. A Utility module provides automated feedback for iterative response refinement.","Evaluation: News Chat (from DSTC7), Customer Service (from DSTC11), and Wiki QA (OTT-QA).","On Customer Service, human evaluation showed a 32.3% improvement in Usefulness over baseline ChatGPT. On Wiki QA, achieved an absolute F1 score gain of over 10% by grounding ChatGPT responses in external knowledge.","Core LLM: Black-box ChatGPT. Policy Module: T5-Base trained with reinforcement learning. 
Knowledge Sources: BM25 for dialogue tasks; DPR and CORE for Wiki QA. 
Metrics: KF1, BLEU, ROUGE (automatic), chrF, METEOR, BERTScore, BLEURT; Usefulness, Humanness (human)."
Provenance,2024,Provenance: A Light-weight Fact-checker for Retrieval Augmented LLM Generation Output - ACL Anthology,"A lightweight fact-checker for RAG using compact NLI models. It scores context items for relevance, selects a subset of ""sources"", prepares a claim from the query and answer, computes factuality scores for each source-claim pair, and aggregates them into a final score.","Evaluation: TRUE, MSMarco, TruthfulQA, HotpotQA, HaluEval, and HaluBench.","On the TRUE benchmark, achieved the best AUC score on 3 out of 7 comparable subsets against models up to 11B parameters. On HaluEval (summarization), surpassed ChatGPT by 3.74% accuracy. On HaluBench, surpassed GPT-3.5-Turbo.","Core Models: Two small cross-encoders (≈300M total parameters): one for relevance scoring, one for hallucination detection. 
Metrics: Primarily Area Under the ROC Curve (AUC); also accuracy. 
Baselines: Compared against results from original dataset papers, including various LLMs (GPT-4, Claude-3)."
"Full-Context Retrieval
and Verification (FCRV)",2024,A Large Language Model-based Fake News Detection Framework with RAG Fact-Checking | IEEE Conference Publication,"Constructs a ""full-context"" for a news article. The pipeline involves: 1) LLM-based extraction of claims as triples, 2) A two-level retrieval process to gather external evidence and log ""retrieval behaviors"" (e.g., no information found), and 3) A reasoning stage where an LLM classifies the article based on the full context.","Training/In-Domain: GossipCop++ and PolitiFact++. 
Out-of-Domain: An AI-generated dataset and a human-written set from PolitiFact++.","On the GossipCop dataset, achieved 88.0% accuracy and 89.4% F1. On the out-of-domain AI-generated dataset, achieved 86.4% accuracy and 88.5% F1, outperforming transformer baselines. On the out-of-domain PolitiFact set, achieved 71.6% accuracy and 82.8% F1, significantly higher than baselines (50-63%).","Core LLM: Llama 3.1 was used for a baseline comparison. 
Retrieval: DuckDuckGo Search API. 
Baselines: H-LSTM and fine-tuned transformers (BERT, RoBERTa, DeBERTa) that were provided the full-context information."
OpenFactCheck,2025,"OpenFactCheck: Building, Benchmarking Customized Fact-Checking Systems and Evaluating the Factuality of Claims and LLMs - ACL Anthology",A unified framework with three modules: 1) CUSTCHECKER for building custom fact-checking pipelines; 2) LLMEVAL for evaluating LLM factuality on a unified benchmark; 3) CHECKEREVAL for benchmarking automated fact-checkers.,"LLMEVAL: Uses FactQA, a new collection of 6,480 questions from seven corpora (Snowball, SelfAware, FreshQA, FacTool-QA, FELM-WK, Factcheck-Bench, FactScore-Bio). 
CHECKEREVAL: Uses FactBench, an aggregation of four human-annotated datasets (FacTool-QA, FELM-WK, Factcheck-Bench, HaluEval).","On Snowball, showed high error rates for LLaMA-2 (>80%) and GPT-4 (65.5%), highlighting snowballing hallucinations. Found that >90% of claims in LLM responses to open-domain questions are factually correct. GPT-4 can identify 87% of its own mistakes","Settings: Framework supports various back-end LLMs (LLaMA-2 7B and 13B, GPT-4), retrievers (e.g., SerperAPI, BM25), and verifiers (LLMs, NLI models). 
Metrics: Accuracy, Precision, Recall, F1-score."
FactLLaMA,2023,FactLLaMA: Optimizing Instruction-Following Language Models with External Knowledge for Automated Fact-Checking,Enhances an instruction-following LLM (LLaMA) with external evidence. The pipeline retrieves relevant evidence from search engines (Google API) for a given claim. This evidence is then used to instruct-tune the LLaMA model to predict the claim's veracity.,Evaluation: RAWFC and LIAR,"On RAWFC, achieved an F1-score of 0.5565, surpassing the previous SOTA. On LIAR, achieved an F1-score of 0.3044, surpassing the previous SOTA.","Core LLM: LLaMA-7B. 
Tuning: Parameter-efficient fine-tuning using Low-Rank Adaptation (LoRA). 
Baselines: SVM, CNN, RNN, DeClarE, dEFEND, SBERT-FC, CofCED, and zero-shot LLaMA. 
Metrics: Precision, Recall, F1-score."
RAGAR,2024,"RAGAR, Your Falsehood Radar: RAG-Augmented Reasoning for Political Fact-Checking using Multimodal Large Language Models","A multimodal fact-checking framework using RAG-augmented reasoning. A multimodal LLM first generates a unified claim. Then, Chain of RAG (CoRAG) or Tree of RAG (ToRAG) reasoning techniques iteratively generate questions, retrieve evidence (text and image captions), and reason to determine veracity.","Evaluation: A balanced subset of 300 claims from the MOCHEG dataset, focusing on political claims from PolitiFact.","The best performing method (ToRAG+CoTVP+CoVe) achieved a weighted F1-score of 0.85, surpassing the baseline reasoning technique by 0.14 points. Human evaluation confirmed the high quality of generated explanations.","Core LLM: GPT-4V. 
Retrieval: DuckDuckGo for text and SerpAPI for reverse image search. 
Reasoning Baselines: A Sub-question Generation with Chain of Thought (SubQ+CoTVP) approach. 
Metric: Weighted F1-score."
Logical and Causal (LoCal),2025,LoCal: Logical and Causal Fact-Checking with LLM-Based Multi-Agents | OpenReview,"A multi-agent framework for logical and causal fact-checking. A decomposing agent breaks claims into sub-tasks. Reasoning agents solve them using retrieved evidence. Two evaluating agents then check the solution for logical consistency and robustness, triggering iterative correction if needed.",Evaluation: Two complex claim verification datasets: FEVEROUS and HOVER.,"Significantly outperformed SOTA baselines including PACAR on both datasets. On HOVER, achieved an average performance improvement of 2.14% (gold evidence) and 2.31% (open book) over the best baselines.","Core LLMs: gpt-3.5-turbo for decomposing/evaluating agents; Flan-T5 for reasoning agents. 
Baselines: Pre-trained (Bert-FC), Fine-tuned (RoBERTa-NLI), LLM-based (ChatGPT, ProgramFC), and Agent-based (PACAR) models. 
Metric: Macro-F1 score."
